video_name, What is in this video?, What is the person doing?, What are the people doing in the background?, Are people in the video focused or distracted?, Can you tell the mood of the person in the video?, Can you identify objects in the video?, Is anyone holding any object, what are they holding?, Are there any safety hazards in the place?, Can you tell the profession of people in the video?
6xR3o-ZxB2Q_000051_000061.mp4, ["In the video a person is seen adjusting a blue and white tie around their neck. They are wearing a black shirt and a black jacket. The person's hands are visible as they make adjustments to the tie."], ['The person is tying a tie.'], ['There are no people in the background of the image.'], ['The people in the video are focused on the task of tying a tie.'], ['The person in the video appears to be in a relaxed and casual mood.'], ['Yes the video shows a person wearing a black jacket and a blue tie.'], ['Yes the person in the image is holding a tie.'], ['There is no indication of any safety hazards in the image.'], ['There is no indication of the profession of the people in the video.']
8g1an3SvcZY_000025_000035.mp4, ['This video shows a man running down a track and jumping into a pile of sand.'], ['The person is running down a track and jumping into a pile of sand.'], ['The people in the background are watching the man perform his jump.'], ["The video shows people watching the man's performance indicating that they are focused on his actions."], ['The person in the video appears to be focused and determined as they are running down the track and jumping into the sand.'], ['Yes the video shows a man in a blue shirt and shorts running down a track and jumping into a pile of sand. There are also people watching the man from the sidelines.'], ['Yes a man is holding a baseball bat in the video.'], ['Yes there is a safety hazard in the place. The man is seen running on a track which could potentially cause accidents or injuries if he were to lose control or collide with other people or objects.'], ['The video shows a man in a blue shirt and shorts running down a track and jumping into a sand pit. It is not clear from the video what profession the man is in.']
7YuItaRHb_I_000191_000201.mp4, ['This video shows two people playing tennis on an indoor court. They are hitting the ball back and forth over the net.'], ['The person is playing tennis.'], ['The people in the background are playing tennis.'], ['The people in the video are focused on playing tennis.'], ['The person in the video appears to be happy and excited as they are smiling and laughing while playing tennis.'], ['Yes the video shows a tennis court with a net in the middle. There are two people playing tennis and a bench is visible on the court.'], ['Yes there is a person holding a tennis racket.'], ['Yes there is a safety hazard in the place. A person is lying on the ground which could pose a risk to others if they are not attended to promptly.'], ['The video does not provide any information about the profession of the people playing tennis.']
2iENibXEysU_000202_000212.mp4, ['The video shows a group of people on stage with two men kneeling and washing the feet of others.'], ['The person is kneeling down and washing the feet of another person.'], ['The people in the background are standing and watching the men on the stage.'], ["The people in the video are focused on the priest's actions as they kneel down and watch him wash their feet."], ['The person in the video appears to be happy and joyful as they are seen smiling and laughing while participating in the religious ceremony.'], ['Yes the video shows a group of people wearing white robes and kneeling on the floor. There is also a table with a white tablecloth and a white curtain in the background.'], ['Yes a man is holding a white cloth.'], ['Yes there is a safety hazard in the place. A person is seen walking on the stage with a knife which could potentially cause harm to others.'], ['Yes the people in the video are priests.']
3arg0fXGRCM_000033_000043.mp4, ['This video showcases a skilled bartender performing a juggling act behind a bar. The bartender is seen juggling three shakers which he skillfully tosses and catches. The performance takes place on a stage and there are other people in the background possibly watching or waiting for their turn to perform. The video is titled "Bartending TV" and features the name "Roberts Stepānovs" at the bottom.'], ['The person in the video is performing a bar trick. They are seen juggling three shakers and a bottle which is a common skill in bar-tending competitions and demonstrations.'], ['The people in the background are standing behind the bar.'], ["The people in the video are focused on the man's performance."], ['The person in the video appears to be having a good time as they are seen smiling and enjoying the drinks.'], ['Yes in the video there is a man wearing a white shirt and black pants who is performing a trick with a shaker. He is also wearing a hat. There is also a bottle of Bacardi on a shelf.'], ['Yes the person in the video is holding a shaker.'], ['Yes there are safety hazards in the place. The man is juggling bottles and cups which can be dangerous if he drops them. Additionally the presence of a large number of bottles and cups on the bar counter can be a tripping hazard.'], ['Yes the people in the video are bartenders.']
7vLw1NQSrSQ_000053_000063.mp4, ['The video shows a man holding a baby and dancing in a room with balloons.'], ['The person is holding a baby and dancing.'], ['The people in the background are dancing.'], ['The video shows people in the background but it is unclear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited as they are dancing and holding a baby.'], ['Yes the video shows a man holding a baby and a dog in a room with balloons.'], ['Yes a man is holding a baby in his arms.'], ['Yes there are safety hazards in the place. The man is holding a baby while standing in front of a large number of balloons which could potentially cause injury if the balloons burst or if the baby falls.'], ['The video does not provide any information about the profession of the people in the video.']
5Vr8hm6P1hM_000071_000081.mp4, ["In this video we see a man kneeling on the floor and pouring water from a blue watering can onto another man's feet. The man pouring water is wearing a white shirt and beige shorts while the man receiving the water is wearing a plaid shirt and glasses. There are also two other men in the room one wearing a red shirt and the other wearing a purple shirt. The room has a couch a chair and a table with a vase on it."], ['The person is kneeling down and pouring water from a blue jug onto the feet of another person.'], ['The people in the background are standing and talking.'], ['The video shows people in the living room focused on the man who is pouring water into a cup.'], ['The person in the video appears to be in a relaxed and comfortable mood.'], ['Yes the video shows a man kneeling on the floor with a blue watering can a man sitting on a couch and a person standing in the background.'], ['Yes a man is holding a green watering can.'], ['Yes there is a safety hazard in the place. A man is seen kneeling on the floor with a green watering can which could potentially cause injury if not handled properly.'], ['The video does not provide any information about the profession of the people in the video.']
A0O2ZL4ZmHg_000053_000063.mp4, ['The video shows a man riding a jet ski in the ocean.'], ['The person is riding a jet ski in the ocean.'], ['The people in the background are standing on the beach and watching the man on the jet ski.'], ['The video shows people in the background looking at the man on the jet ski indicating that they are focused on his activity.'], ['The person in the video appears to be having a good time and enjoying the thrill of riding the jet ski.'], ['Yes the video shows a man riding a jet ski in the ocean a group of men standing on the beach and a man in a blue shirt and sunglasses.'], ['Yes a man is holding a camera while riding the jet ski.'], ['Yes there are safety hazards in the place. The man is riding a jet ski in the ocean which can be dangerous due to the presence of strong waves and currents. Additionally there are people standing on the beach which can be a hazard if the jet ski were to collide with them.'], ['The video does not provide any information about the profession of the people in the video.']
ADfoSUn-lXs_000006_000016.mp4, ['This video shows a person standing on a field holding a ball behind their neck. They then spin around and throw the ball into the distance.'], ['The person is standing on a field and throwing a discus.'], ['The people in the background are standing around and watching the man throw the discus.'], ['The people in the video are focused on the man throwing the discus.'], ['The person in the video appears to be focused and determined as they are practicing their discus throwing technique.'], ['Yes the video shows a man throwing a discus a net and a table with a white cloth on it.'], ['Yes there is a person holding a frisbee in the video.'], ['Yes there is a safety hazard in the place. The person in the video is throwing a discus which is a heavy and potentially dangerous object. The discus could cause injury if it were to land on someone or something. Additionally the person is standing on a platform which could be unstable and cause a fall.'], ['The video shows a man throwing a discus which is a sport. There are also people standing around him which could be spectators or other athletes.']
5MvvPU-4nuw_000020_000030.mp4, ['The video shows a person wearing a hoodie and a mask standing in front of a television screen. The person is clapping their hands and appears to be reacting to something on the screen.'], ['The person is playing a video game on a television.'], ['The people in the background are playing a video game.'], ['The people in the video appear to be distracted as they are looking at a TV screen while the man in the hoodie is speaking.'], ['The person in the video appears to be in a good mood as they are seen smiling and laughing while playing the game.'], ["Yes the video shows a television screen displaying a person's face a person wearing a hoodie and a person wearing a black shirt."], ['Yes the person in the hoodie is holding a remote control.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people.']
31c6-27-t3M_000000_000010.mp4, ['In the video a young boy is seen holding a bow and arrow and shooting at a target. The arrow hits the target and the boy walks away.'], ['The person is shooting a bow and arrow at a target.'], ['The people in the background are walking on the grass.'], ['The video shows people in the park engaged in various activities such as playing with a frisbee and a ball and flying a kite. However there is no indication that they are focused on the archery activity.'], ['The person in the video appears to be having a good time and is enjoying the activity of shooting the bow and arrow.'], ['Yes the video shows a boy holding a bow and arrow a man standing next to a Samsung TV and a person holding a camera.'], ['Yes a boy is holding a bow and arrow.'], ['Yes there is a safety hazard in the place. The boy is shooting a bow and arrow at a target which could potentially cause injury if the arrow misses its target. Additionally the grassy area where the boy is shooting could be slippery or uneven which could cause the boy to lose balance and fall.'], ['The video does not provide any information about the profession of the people in the video.']
CGGVH8RmG14_000600_000610.mp4, ['This video shows a volleyball game being played in an indoor arena. The players are wearing black and red uniforms and are positioned on a red and blue court. The game is being officiated by a referee standing on a raised platform. The players are actively engaged in the game with one player in a black uniform hitting the ball over the net. The audience is seated on chairs around the court watching the game.'], ['The person is playing volleyball.'], ['The people in the background are watching the volleyball game.'], ['The people in the video are focused on the game of volleyball being played.'], ['The person in the video appears to be happy and excited as they are smiling and clapping.'], ['Yes the video shows a volleyball game being played on a court. The players are wearing black and red uniforms and there are spectators watching the game.'], ['Yes there is a person holding a white object but the exact nature of the object is not clear from the image.'], ['Yes there are safety hazards in the place. There are two fire extinguishers on the wall which can be used in case of a fire emergency. Additionally there is a sign on the wall that indicates the presence of a fire alarm.'], ['The video shows a group of women playing volleyball in an indoor gym. There is no indication of their professions in the video.']
8mh3lYSJWts_000142_000152.mp4, ['The video shows a woman rappelling down the side of a building while wearing a yellow shirt and a helmet.'], ['The person is rappelling down the side of a building.'], ['The people in the background are working on a building.'], ["The people in the video are focused on their tasks whether it's climbing a building or working on a construction site."], ['The person in the video appears to be having a good time and enjoying the activity.'], ['Yes the video shows a woman rappelling down a building a man standing on a roof and a person standing on a balcony.'], ['Yes the person on the roof is holding a rope.'], ['Yes there are safety hazards in the place. The video shows a man climbing a building with a rope which is a potentially dangerous activity. Additionally there is a person standing on the roof of a building which is also a potentially dangerous activity.'], ['The video shows people climbing up a building but it is not clear what profession they are in.']
BZWr_ztSPIA_000343_000353.mp4, ['The video shows a group of people gathered around a table with one man kneeling and another man kneeling in front of him. The man in front is pouring something into a bowl and the man kneeling is drinking from the bowl.'], ['The person is kneeling down and putting their head on the ground.'], ['The people in the background are standing and watching the man in the red robe.'], ['The people in the video are focused on the man who is kneeling and praying.'], ['The person in the video appears to be in a state of distress or pain as they are seen kneeling on the ground and holding their head.'], ['Yes the video shows a man kneeling in front of a table a man in a red shirt standing next to a table and a man in a black shirt kneeling in front of a table.'], ['Yes a man is holding a bowl in the video.'], ['Yes there are safety hazards in the place. The video shows a man kneeling on the floor with a candle nearby which could potentially cause a fire hazard. Additionally there are people standing on chairs which could lead to accidents if they lose their balance or the chairs collapse.'], ['The video does not provide any information about the professions of the people in the video.']
9tEUSDtnIoM_000004_000014.mp4, ['The video shows a person standing in a grassy area with a fence in the background. The person appears to be holding a frisbee and is in the process of throwing it. The setting suggests an outdoor recreational area possibly a park or a sports field.'], ['The person is standing in a field.'], ['The people in the background are playing baseball.'], ['The people in the video are focused on the game and the ball.'], ['The person in the video appears to be having a good time and enjoying the activity.'], ['Yes the video shows a man in a green shirt and blue shorts standing in a field. There is also a fence visible in the background.'], ['Yes the person in the background is holding a frisbee.'], ['There is no existence of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people.']
2_U4CsufAQQ_000408_000418.mp4, ['This video showcases a thrilling winter sport known as snowkiting. Snowkiting involves riding a snowboard while being pulled by a kite. The video captures the exhilarating moments of snowkiting including the snowboarder gliding across the snow-covered terrain and performing jumps and tricks. The bright blue sky and snowy landscape add to the overall excitement and beauty of the sport.'], ['The person is snowboarding.'], ['The people in the background are snowboarding down a snowy hill.'], ['The people in the video are focused on their activities as they are seen skiing and snowboarding down the snowy hill.'], ['The person in the video appears to be having a lot of fun and enjoying the activity.'], ['Yes the video shows a snowboarder and a kite.'], ['Yes the person in the video is holding a kite.'], ['Yes there are safety hazards in the place. The snowboarders are riding on a snowy hill which can be slippery and uneven. Additionally there are other people in the area which increases the risk of collisions.'], ['The video does not provide any information about the profession of the people in the video.']
-zx6rM5PNd4_000054_000064.mp4, ["In the video a woman is seen braiding a young girl's hair. The woman is wearing a red shirt and the girl is wearing a yellow shirt. The setting appears to be a hair salon or a similar environment as there are various hair care products and tools visible in the background. The woman is focused on braiding the girl's hair and the girl seems to be sitting calmly while the woman works on her hair."], ['The person is braiding the hair of another person.'], ['The people in the background are sitting on chairs.'], ["The people in the video are focused on their tasks with the woman in the red shirt working on the girl's hair and the woman in the yellow shirt looking at her phone."], ['The person in the video appears to be calm and focused on the task at hand.'], ['Yes the video shows a woman wearing a red shirt and a girl wearing a yellow shirt. The woman is holding a hairbrush and a hair tie.'], ['Yes the woman is holding a hairbrush in her right hand.'], ['Yes there are safety hazards in the place. There is a spray bottle on the table which can be a potential hazard if it is not stored properly. Additionally there is a knife on the table which can be dangerous if it is not stored securely.'], ['Yes the woman in the video is a hairdresser as she is seen styling the hair of a young girl.']
9JJRIpsUxhk_000233_000243.mp4, ['This video shows a person ice climbing on a frozen waterfall. The person is using ice tools to ascend the ice wall and there is another person below them holding a rope to secure the climber. The video captures the challenging and thrilling nature of ice climbing in a winter setting.'], ['The person is ice climbing on a frozen waterfall.'], ['The people in the background are climbing up the ice wall.'], ['The people in the video are focused on their tasks which include climbing up the ice wall and using ropes to secure themselves.'], ['The person in the video appears to be focused and determined as they climb up the ice wall.'], ['Yes the video shows a person climbing up a steep ice wall using a rope and a pickaxe.'], ['Yes the person is holding a rope.'], ['Yes there are safety hazards in the place. The person is climbing up a steep ice wall which requires a high level of skill and experience. Additionally the person is wearing a helmet which suggests that there may be a risk of falling or being hit by falling objects.'], ['Yes the people in the video are ice climbers. They are using ice axes and ropes to climb up the ice wall.']
-w1C_Fgk3Bk_000035_000045.mp4, ['In the video a young girl is playing a small guitar and singing into a microphone. She is sitting on a stage with a microphone stand and a keyboard in front of her. The background appears to be outdoors with grass and a stone wall visible.'], ['The person is playing a small guitar and singing into a microphone.'], ['There are people in the background but it is not clear what they are doing.'], ['The video shows people in the background looking at the girl playing the ukulele.'], ['The person in the video appears to be focused and engaged in playing the ukulele.'], ['Yes the video shows a young girl playing a ukulele and singing into a microphone. There is also a keyboard and a microphone stand visible in the background.'], ['Yes the person is holding a guitar.'], ["There are no visible safety hazards in the image. The area appears to be a well-maintained outdoor space with a stone wall and grass in the background. The child is playing the ukulele and singing into a microphone which is set up on a stand. The environment looks safe and suitable for the child's performance."], ['The video shows a young girl playing the ukulele and singing into a microphone. There is no indication of other people in the video.']
8UjQS55nda0_000003_000013.mp4, ['This video shows two children watering plants in a garden.'], ['The person is watering the plants.'], ['The people in the background are standing and walking around.'], ['The video shows people focused on their tasks such as watering plants and walking down the sidewalk.'], ['The person in the video appears to be happy and content as they are seen smiling and enjoying the activity of watering the plants.'], ['Yes the video shows a child holding a watering can and another child holding a yellow bag. There are also potted plants visible in the background.'], ['Yes there is a person holding a watering can.'], ['Yes there is a safety hazard in the place. The video shows a child standing on a tile floor with a metal watering can which could potentially cause accidents if the child slips or falls.'], ['The video does not provide any information about the profession of the people in the video.']
0PwWt1xsgLQ_000002_000012.mp4, ['This video shows a person throwing an axe at a target.'], ['The person is throwing an axe at a target.'], ['The people in the background are throwing axes at a target.'], ['The video shows people throwing axes at targets which suggests that they are focused on the activity.'], ['The person in the video appears to be having a good time as they are throwing axes at a target.'], ['Yes the video shows a person throwing an axe at a target.'], ['Yes a woman is holding an axe.'], ['Yes there are safety hazards in the place. The video shows a person throwing an axe at a target which can be dangerous if not done properly. Additionally there are chains and a fence in the background which could pose a risk if someone were to accidentally hit them.'], ['The video shows people throwing axes at targets which suggests that they are participating in an activity related to axe throwing.']
4d7rIVwYbxE_000010_000020.mp4, ['The video shows a group of people interacting with elephants in a sandy area. One man is seen riding an elephant while another man is leading an elephant around. There are also several other elephants in the area and people are standing around them.'], ['The person is leading the elephant around while holding onto its back.'], ['The people in the background are sitting under a green umbrella.'], ['The people in the video are focused on the elephants and their activities. They are watching the elephants as they walk around and interact with each other.'], ['The person in the video appears to be happy and excited as they interact with the elephants.'], ['Yes the video shows a group of elephants and people in a sandy area. There are also umbrellas and a bench visible in the background.'], ['Yes a man is holding a green umbrella.'], ['Yes there are safety hazards in the place. The video shows that the elephants are walking on a dirt road which can be slippery and uneven. Additionally the elephants are carrying people on their backs which can be dangerous if the elephants lose their balance or if the riders are not properly secured.'], ['The video shows people in different professions including a man in a blue shirt and black pants a man in a white shirt and black pants and a man in a white shirt and black pants.']
Bmg6XjJQvxw_000001_000011.mp4, ['This video appears to be a scene from a skiing or snowboarding adventure. The snowy landscape and the presence of skis suggest that the video captures a moment during a skiing or snowboarding activity. The text "To Be Continued" indicates that this is likely a segment of a longer video or series.'], ['The person is skiing down a snowy mountain slope.'], ['The people in the background are skiing down a snowy mountain.'], ['The video shows people skiing down a snowy mountain which suggests that they are focused on their activity.'], ['The person in the video appears to be enjoying the skiing experience as they are seen skiing down a snowy mountain slope.'], ['Yes the video shows a snowy mountain landscape with trees and a clear blue sky. There is also a person skiing down the slope and the video ends with a caption that says "To Be Continued."'], ['Yes the person is holding a ski pole.'], ['Yes there are safety hazards in the place. The video shows a person skiing down a steep slope which can be dangerous due to the risk of falling and injuries. Additionally the presence of trees and rocks along the trail can pose a risk of collisions or entanglement. It is important to be aware of these hazards and take appropriate safety precautions while skiing.'], ['The video shows people skiing down a snowy mountain slope.']
BEQzXWsa2s0_000011_000021.mp4, ['The video shows a person playing the drums in a room. The person is hitting a cymbal with a drumstick.'], ['The person is playing the drums.'], ['The people in the background are playing drums.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be enjoying themselves while playing the drums.'], ['Yes the video shows a cymbal being played with a drumstick.'], ['Yes a person is holding a microphone in the video.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people in the video.']
-yUB5AkkEOk_000176_000186.mp4, ['The video shows a man playing tennis on a court.'], ['The person is playing tennis on a court.'], ['The people in the background are playing tennis.'], ['The video shows people playing tennis on a court but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited as they are smiling and laughing while playing tennis.'], ['Yes the video shows a tennis court with a green wall and a green curtain. There are also two people playing tennis on the court.'], ['Yes one of the men is holding a tennis racket.'], ['Yes there is a safety hazard in the place. A man is seen walking on the tennis court with a tennis racket which could potentially cause injury to himself or others.'], ['The video does not provide any information about the profession of the people playing tennis.']
1bt7qyQ-8wg_000032_000042.mp4, ['In the video a young boy is playing the saxophone while sitting on a chair. There are people sitting behind him and he is wearing a plaid shirt.'], ['The person is playing the saxophone.'], ['The people in the background are watching the boy play the saxophone.'], ['The people in the video are focused on the young boy playing the saxophone.'], ['The person in the video appears to be enjoying themselves while playing the saxophone.'], ['Yes the video shows a young boy playing a saxophone in a room with a microphone and a speaker. There are also people sitting in chairs and a table with a laptop.'], ['Yes a boy is holding a saxophone.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the professions of the people in the video.']
0bJjw6sFnbc_000210_000220.mp4, ['This video shows a man performing a magic trick in front of a group of people. He is holding a box and making it appear as if he is cutting it in half.'], ['The person is dancing in front of a group of people.'], ['The people in the background are sitting and watching the man dance.'], ['The people in the video are focused on the man who is dancing and performing.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes the video shows a man holding a bottle of wine and a woman holding a glass of wine.'], ['Yes a man is holding a piece of paper in the video.'], ['Yes there is a fire extinguisher hanging on the wall in the room where the man is dancing.'], ['The video does not provide any information about the professions of the people in the video.']
CAclt_PNFxc_000006_000016.mp4, ['The video shows a group of women dancing in a dark room. They are performing a choreographed dance routine and the video ends with the words "country heart" appearing on the screen.'], ['The person is standing in a room with a group of people.'], ['The people in the background are standing and watching the group of women dance.'], ['The people in the video are focused on their dance moves and seem to be enjoying themselves.'], ['The person in the video appears to be happy and enjoying the dance.'], ['Yes the video shows a group of women dancing in a dark room. There is also a bar in the background.'], ['Yes one of the women is holding a camera.'], ['Yes there is a fire extinguisher on the wall in the background.'], ['The video does not provide any information about the professions of the people in the video.']
Bq-zuMf6trg_000002_000012.mp4, ["In this video a person is holding a small animal which appears to be a dog and petting it. The person's hands are visible and they are gently stroking the dog's fur. The dog seems to be enjoying the attention as it is lying down and looking relaxed. The background is not very clear but it appears to be indoors."], ['The person is holding a small animal and petting it.'], ['The people in the background are playing with a dog.'], ['The people in the video are focused on the animals they are holding and petting. They seem to be enjoying the interaction with the animals and are not distracted by anything else.'], ['The person in the video appears to be happy and content while petting the cat.'], ['Yes the video shows a person holding a cat and a dog.'], ['Yes the person is holding a small animal which appears to be a dog.'], ['There is no indication of any safety hazards in the place where the person is holding the cat.'], ['The video does not provide any information about the profession of the people in the video.']
5SSEJWAIRVc_000078_000088.mp4, ['The video shows a group of women playing basketball in a gym. They are wearing pink jerseys and white shorts. One of the players is seen making a basket and the team celebrates together.'], ['The person is playing basketball.'], ['The people in the background are watching the game.'], ['The video shows people in the stands watching the game but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited as they are seen smiling and jumping in the air.'], ['Yes the video shows a basketball hoop a basketball and a group of people playing basketball.'], ['Yes a woman is holding a basketball.'], ['Yes there is a safety hazard in the place. A person is seen walking with a skateboard which could potentially cause accidents or injuries if not handled carefully.'], ['The video does not provide any information about the profession of the people in the video.']
BdT_kiExlNo_000065_000075.mp4, ['This video shows a person washing their hands in a sink.'], ['The person is washing their hands in a sink.'], ['The people in the background are washing their hands.'], ['The video shows people washing their hands in a sink but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be relaxed and comfortable while washing their hands.'], ['Yes the video shows a sink with a faucet and a soap bar.'], ['Yes the person is holding a white bar of soap in their left hand.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people in the video.']
-vDWgHdsEwA_000018_000028.mp4, ['This video shows a baby sleeping in a hospital bed a woman holding a baby and feeding it with a bottle and a woman holding a baby in her arms.'], ['The person is feeding a baby with a bottle.'], ['The people in the background are not shown in the video.'], ['The people in the video are focused on the baby as they are shown holding and feeding the baby.'], ['The person in the video appears to be happy and content as they are holding a baby and feeding it.'], ['Yes the video shows a baby sleeping in a hospital bed a woman holding a baby in her arms and a woman feeding a baby with a bottle.'], ['Yes a woman is holding a bottle in her hand.'], ['There is no indication of any safety hazards in the place.'], ['Yes the video shows a woman in a white coat and a nurse holding a baby.']
5pYm5-IL3_E_000002_000012.mp4, ['In the video a woman is seen standing in front of a weather map discussing the weather conditions. She mentions that the high temperatures for the day will range from 75 to 79 degrees Fahrenheit. She also notes that there will be scattered rain which may become heavy at times.'], ['The person is giving a weather report.'], ['The people in the background are standing in front of a map.'], ['The people in the video are focused on the weather forecast.'], ['The person in the video appears to be happy and smiling.'], ['Yes the video shows a weather map with a yellow shirted woman standing in front of it. The weather map displays the temperature and precipitation forecast for the day.'], ['Yes the woman is holding a remote control.'], ['There is no indication of any safety hazards in the image.'], ['Yes the people in the video are weather forecasters.']
2UJuHvLoXKE_000067_000077.mp4, ['This video captures a volleyball game in progress. The players are actively engaged in the sport with one player in a black jersey with the number 3 on it preparing to serve the ball. The court is marked with the logos of sponsors such as "Mikasa" and "RDS." The audience is visible in the background and the game appears to be part of a larger event or tournament as indicated by the "Titans Volleyball" logo in the top right corner.'], ['The person is playing volleyball.'], ['The people in the background are watching the volleyball game.'], ['The people in the video are focused on the game.'], ['The person in the video appears to be happy and excited as they are smiling and clapping.'], ['Yes the video shows a volleyball game being played in a stadium. The players are wearing jerseys with numbers and are positioned on a court with a net. The audience is seated in the stands and there are advertisements on the walls and banners around the court.'], ['Yes there is a person holding a red flag.'], ['There is no existence of any safety hazards in the image.'], ['The people in the video are playing volleyball.']
7C7uBHB1XM8_000091_000101.mp4, ['In the video a person is seen entering a wooden shed and then exiting it. The shed has a small window and is surrounded by greenery and some construction equipment.'], ['The person is closing the door of a wooden shed.'], ['The people in the background are working on a wooden shed.'], ['The people in the video are focused on their tasks with one person working on a wooden shed and another person walking in and out of the shed.'], ['The person in the video appears to be in a positive mood as they are smiling while working on the shed.'], ['Yes the video shows a wooden shed with a window and a door. There are also some tools and equipment around the shed including a ladder and a step stool.'], ['Yes the person is holding a piece of wood.'], ['Yes there are safety hazards in the place. The person is using a ladder to climb into the shed which could be dangerous if the ladder is not stable or if the person loses their balance. Additionally there are several buckets and other objects scattered around the area which could pose a tripping hazard.'], ['The video does not provide any information about the profession of the people in the video.']
8kxjDj-X55Q_000079_000089.mp4, ['The video shows a group of people playing a game of poker around a table.'], ['The person is playing poker.'], ['The people in the background are playing cards.'], ['The people in the video are focused on playing the game of poker.'], ['The person in the video appears to be happy and excited as they are smiling and clapping their hands.'], ['Yes the video shows a group of people playing a game of poker around a table. There are cards and chips on the table and the players are seated around it.'], ['Yes there is a person holding a cup in the video.'], ['There is no existence of any safety hazards in the image.'], ['The video does not provide any information about the professions of the people playing poker.']
2fqKpxdsuNA_000002_000012.mp4, ['The video shows a person walking on a snowy surface and then falling down.'], ['The person is walking on the ice and then falls down.'], ['The people in the background are walking.'], ['The video shows people walking and standing in the snow some of them looking at their phones. This suggests that they are not fully focused on their surroundings and may be distracted by their phones.'], ['The person in the video appears to be happy and carefree as they are seen running and jumping around in the snow.'], ['Yes the video shows a person walking on the ice a dog running on the ice and a person standing on the ice.'], ['Yes a person is holding a skateboard in the video.'], ['Yes there is a safety hazard in the place. The person is walking on a snowy surface which can be slippery and lead to falls.'], ['The video does not provide any information about the profession of the people in the video.']
BQ2evE_2jDw_000047_000057.mp4, ['This video shows a group of people playing a game on a grassy field. The players are wearing green and red uniforms and they appear to be engaged in a sport that involves running and chasing a ball. The setting is outdoors with trees and a clear sky in the background.'], ['The person is playing a game of soccer.'], ['The people in the background are walking on the grass.'], ['The people in the video are focused on playing the game of soccer.'], ['The person in the video appears to be having a good time as they are seen smiling and laughing while playing the game.'], ['Yes the video shows a group of people playing a game on a field.'], ['Yes there is a person holding a frisbee in the video.'], ['There is no existence of any safety hazards in the place.'], ['The video does not provide any information about the professions of the people in the video.']
9gF_3_OZlA4_000142_000152.mp4, ['The video shows a large group of people walking down a street while holding flags and banners.'], ['The person is walking down the street with a red flag.'], ['The people in the background are walking down the street.'], ['The people in the video are focused on the parade and the flags they are holding. They are walking down the street and waving the flags which suggests that they are engaged in the parade and enjoying the festivities.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes the video shows a large group of people walking down the street holding flags and banners. There are also cars driving on the street.'], ['Yes there is a person holding a red flag.'], ['The video does not show any safety hazards in the place.'], ['The video does not provide any information about the profession of the people in the video.']
BTV1HzAecgc_000004_000014.mp4, ['This video shows a group of people playing various instruments on a stage. There is a man playing the violin another man playing the accordion and a woman playing the keyboard.'], ['The person is playing the accordion.'], ['The people in the background are playing instruments.'], ['The people in the video are focused on the music being played by the band.'], ['The person in the video appears to be enjoying the music and is smiling while playing the accordion.'], ['Yes the video shows a man playing the accordion a woman playing the keyboard and a man playing the violin. There is also a microphone on a stand in front of the man playing the accordion.'], ['Yes there is a person holding a violin.'], ['There is no indication of any safety hazards in the video.'], ['Yes the people in the video are playing musical instruments on stage.']
9HA-jh8PRE0_000045_000055.mp4, ['This video shows a man painting a wall with a sprayer.'], ['The person is painting a wall with a paint sprayer.'], ['The people in the background are painting the walls of a room.'], ['The people in the video are focused on their tasks with one person painting a wall and another person standing on a ladder.'], ['The person in the video appears to be focused and determined as they work on the wall.'], ['Yes the video shows a man wearing a white shirt and a white mask standing on a ladder and painting a wall. There is also a white door in the background.'], ['Yes the person is holding a hose.'], ['Yes the man is wearing a respirator mask which suggests that there may be some air quality issues in the room. Additionally the man is standing on a ladder which could pose a risk of falling if not used properly.'], ['Yes the people in the video are likely painters or decorators.']
-mhDeqhDpuk_000031_000041.mp4, ['The video shows a person underwater wearing a mask and making a bubble ring. The person is holding a camera and recording the scene. The water is clear and the person is swimming in a body of water possibly a pool or a lake. The video captures the moment when the person successfully creates a bubble ring which is a common activity in scuba diving and snorkeling.'], ['The person is swimming underwater and blowing a bubble ring.'], ['The people in the background are swimming in the water.'], ['The people in the video are focused on the camera and the underwater environment.'], ['The person in the video appears to be having a good time and enjoying the underwater experience.'], ['Yes the video shows a person wearing a black shirt and a green necklace and a ring is visible in the water.'], ['Yes the person in the video is holding a camera.'], ['Yes there are safety hazards in the place. The person in the video is swimming in a body of water which can be dangerous due to the risk of drowning especially if the water is deep or there are strong currents. Additionally the person is wearing a mask which can make it difficult to breathe and see clearly underwater. It is important to always swim with a buddy and follow safety guidelines when swimming in unfamiliar or potentially hazardous waters.'], ['The video does not provide any information about the profession of the people.']
